STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        183;19470101;19470131;    5;  -999;  -3.12;   -1.37;   -4.98;-999;   6.1;  -999; -12.5;-999;    5;    15.0;-999;eor
        183;19470201;19470228;    5;  -999;  -5.95;   -4.26;   -7.92;-999;  -2.0;  -999; -16.2;-999;    5;    10.0;-999;eor
        183;19470301;19470331;    5;  -999;  -1.65;    0.87;   -4.43;-999;  11.0;  -999; -16.9;-999;    5;    58.0;-999;eor
        183;19470401;19470430;    5;  -999;   5.20;    8.83;    2.14;-999;  18.4;  -999;  -2.7;-999;    5;    39.0;-999;eor
        183;19470501;19470531;    5;  -999;   9.43;   12.07;    6.85;-999;  22.2;  -999;   1.0;-999;    5;    18.0;-999;eor
        183;19470601;19470630;    5;  -999;  15.28;   18.52;   12.29;-999;  28.0;  -999;   8.2;-999;    5;    18.0;-999;eor
        183;19470701;19470731;    5;  -999;  17.06;   19.91;   14.88;-999;  24.8;  -999;  11.0;-999;    5;    77.0;-999;eor
        183;19470801;19470831;    5;  -999;  18.22;   20.53;   16.20;-999;  25.1;  -999;  12.7;-999;    5;    26.0;-999;eor
        183;19470901;19470930;    5;  -999;  16.61;   19.60;   14.03;-999;  28.9;  -999;   7.8;-999;    5;    35.0;-999;eor
        183;19471001;19471031;    5;  -999;   9.25;   11.33;    6.71;-999;  16.1;  -999;   0.9;-999;    5;    50.0;-999;eor
        183;19471101;19471130;    5;  -999;   5.46;    7.38;    3.48;-999;  12.0;  -999;  -0.6;-999;    5;   204.0;-999;eor
        183;19471201;19471231;    5;  -999;   2.99;    4.59;    1.39;-999;   7.4;  -999;  -3.3;-999;    5;    75.0;-999;eor
        183;19480101;19480131;    5;  -999;   1.73;    3.37;   -0.21;-999;   7.9;  -999;  -5.3;-999;    5;    75.0;-999;eor
        183;19480201;19480229;    5;  -999;   0.56;    2.01;   -0.94;-999;   8.1;  -999;  -6.7;-999;    5;    32.0;-999;eor
        183;19480301;19480331;    5;  -999;   3.21;    5.69;    1.17;-999;  13.0;  -999;  -4.2;-999;    5;    31.0;-999;eor
        183;19480401;19480430;    5;  -999;   6.74;    9.83;    4.39;-999;  17.6;  -999;   0.9;-999;    5;    66.0;-999;eor
        183;19480501;19480531;    5;  -999;   9.85;   12.49;    7.66;-999;  22.4;  -999;   5.6;-999;    5;    58.0;-999;eor
        183;19480601;19480630;    5;  -999;  14.58;   17.75;   11.83;-999;  23.7;  -999;   8.1;-999;    5;    28.0;-999;eor
        183;19480701;19480731;    5;  -999;  16.39;   19.01;   13.92;-999;  24.2;  -999;   9.5;-999;    5;    69.0;-999;eor
        183;19480801;19480831;    5;  -999;  16.90;   19.56;   14.30;-999;  28.0;  -999;  10.2;-999;    5;   125.0;-999;eor
